no,lon,lat
1,36.35833,36.57057
2,36.37054,36.58565
3,36.38275,36.60073
4,36.39496,36.61581
5,36.40718,36.63089
6,36.41931,36.64601
7,36.43048,36.66161
8,36.44166,36.6772
9,36.45284,36.6928
10,36.46402,36.70839
11,36.47476,36.72418
12,36.48344,36.74077
13,36.49213,36.75735
14,36.50082,36.77394
15,36.50952,36.79052
16,36.51832,36.80707
17,36.52741,36.82352
18,36.5365,36.83997
19,36.54559,36.85642
20,36.55469,36.87286
21,36.56313,36.88954
22,36.57043,36.90655
23,36.57774,36.92356
24,36.58505,36.94057
25,36.59237,36.95758
26,36.59923,36.97471
27,36.60559,36.99197
28,36.61194,37.00922
29,36.6183,37.02648
30,36.62466,37.04373
31,36.63281,37.0605
32,36.64233,37.0768
33,36.65185,37.09311
34,36.66138,37.10941
35,36.67091,37.12571
36,36.68331,37.14074
37,36.69711,37.15497
38,36.71092,37.16919
39,36.72474,37.18342
40,36.73855,37.19764
41,36.74919,37.21351
42,36.75872,37.22982
43,36.76826,37.24612
44,36.77779,37.26243
45,36.78734,37.27874
46,36.79687,37.29505
47,36.8064,37.31136
48,36.81594,37.32767
49,36.82548,37.34397
50,36.83502,37.36028
51,36.84455,37.3766
52,36.85409,37.39291
53,36.86363,37.40922
54,36.87317,37.42554
55,36.88272,37.44185
56,36.89226,37.45816
57,36.36184,36.56923
58,36.37405,36.58431
59,36.38626,36.59939
60,36.39848,36.61447
61,36.4107,36.62954
62,36.42283,36.64467
63,36.434,36.66026
64,36.44518,36.67586
65,36.45636,36.69145
66,36.46754,36.70704
67,36.47828,36.72284
68,36.48696,36.73942
69,36.49565,36.75601
70,36.50434,36.77259
71,36.51304,36.78918
72,36.52184,36.80572
73,36.53093,36.82217
74,36.54002,36.83862
75,36.54912,36.85507
76,36.55822,36.87152
77,36.56665,36.88819
78,36.57396,36.9052
79,36.58127,36.92222
80,36.58858,36.93923
81,36.59589,36.95624
82,36.60276,36.97336
83,36.60912,36.99062
84,36.61547,37.00788
85,36.62183,37.02513
86,36.62819,37.04239
87,36.63634,37.05916
88,36.64586,37.07546
89,36.65539,37.09176
90,36.66492,37.10806
91,36.67445,37.12437
92,36.68685,37.13939
93,36.70065,37.15362
94,36.71446,37.16785
95,36.72827,37.18208
96,36.74209,37.1963
97,36.75273,37.21217
98,36.76226,37.22847
99,36.7718,37.24478
100,36.78134,37.26109
101,36.79088,37.27739
102,36.80041,37.2937
103,36.80994,37.31001
104,36.81948,37.32632
105,36.82902,37.34263
106,36.83857,37.35894
107,36.8481,37.37525
108,36.85763,37.39157
109,36.86717,37.40788
110,36.87672,37.42419
111,36.88627,37.4405
112,36.89581,37.45682
113,36.36535,36.56788
114,36.37756,36.58296
115,36.38977,36.59804
116,36.40199,36.61312
117,36.41421,36.6282
118,36.42634,36.64333
119,36.43751,36.65892
120,36.44869,36.67451
121,36.45987,36.69011
122,36.47106,36.7057
123,36.48179,36.72149
124,36.49048,36.73808
125,36.49917,36.75467
126,36.50786,36.77125
127,36.51656,36.78783
128,36.52537,36.80438
129,36.53445,36.82083
130,36.54354,36.83728
131,36.55264,36.85373
132,36.56174,36.87018
133,36.57018,36.88685
134,36.57749,36.90386
135,36.58479,36.92087
136,36.59211,36.93788
137,36.59942,36.95489
138,36.60629,36.97202
139,36.61264,36.98928
140,36.619,37.00653
141,36.62536,37.02379
142,36.63172,37.04104
143,36.63987,37.05781
144,36.64939,37.07412
145,36.65892,37.09042
146,36.66845,37.10672
147,36.67799,37.12302
148,36.69039,37.13805
149,36.70419,37.15228
150,36.718,37.16651
151,36.73181,37.18073
152,36.74563,37.19496
153,36.75627,37.21082
154,36.7658,37.22713
155,36.77534,37.24344
156,36.78488,37.25974
157,36.79442,37.27605
158,36.80396,37.29236
159,36.81349,37.30867
160,36.82303,37.32498
161,36.83257,37.34129
162,36.84211,37.35759
163,36.85165,37.37391
164,36.86118,37.39022
165,36.87072,37.40653
166,36.88027,37.42285
167,36.88982,37.43916
168,36.89936,37.45547
169,36.36886,36.56654
170,36.38107,36.58162
171,36.39328,36.5967
172,36.4055,36.61178
173,36.41772,36.62685
174,36.42985,36.64198
175,36.44103,36.65758
176,36.45221,36.67317
177,36.46339,36.68876
178,36.47457,36.70436
179,36.48531,36.72015
180,36.494,36.73674
181,36.50269,36.75332
182,36.51138,36.76991
183,36.52008,36.78649
184,36.52889,36.80304
185,36.53797,36.81949
186,36.54707,36.83593
187,36.55616,36.85238
188,36.56526,36.86883
189,36.5737,36.8855
190,36.58101,36.90252
191,36.58832,36.91953
192,36.59563,36.93654
193,36.60295,36.95355
194,36.60982,36.97068
195,36.61617,36.98793
196,36.62253,37.00519
197,36.62889,37.02244
198,36.63525,37.0397
199,36.6434,37.05647
200,36.65293,37.07277
201,36.66245,37.08907
202,36.67199,37.10538
203,36.68152,37.12168
204,36.69392,37.1367
205,36.70773,37.15093
206,36.72154,37.16516
207,36.73535,37.17939
208,36.74917,37.19361
209,36.75981,37.20948
210,36.76934,37.22578
211,36.77888,37.24209
212,36.78842,37.2584
213,36.79797,37.2747
214,36.8075,37.29101
215,36.81703,37.30732
216,36.82657,37.32363
217,36.83611,37.33994
218,36.84566,37.35625
219,36.85519,37.37256
220,36.86473,37.38888
221,36.87427,37.40519
222,36.88382,37.4215
