lat,lon
-20.90445,-71.04335
-20.81859,-71.05153
-20.73289,-71.06157
-20.64718,-71.07158
-20.56147,-71.08156
-20.47575,-71.09152
-20.39003,-71.10146
-20.30431,-71.11137
-20.21858,-71.12127
-20.13272,-71.13026
-20.0465,-71.13697
-19.96028,-71.14395
-19.87585,-71.16167
-19.79275,-71.18715
-19.70971,-71.21257
-19.62673,-71.23793
-19.54363,-71.26185
-19.46011,-71.28249
-19.379,-71.31502
-19.30762,-71.3722
-19.23981,-71.42901
-19.17201,-71.48579
-19.10426,-71.54269
-19.03661,-71.59994
-18.96997,-71.65669
-18.90386,-71.71312
-18.8377,-71.76952
-18.7715,-71.8259
-18.70525,-71.88222
-20.89736,-70.95431
-20.81081,-70.9624
-20.7244,-70.97221
-20.63798,-70.98199
-20.55156,-70.99174
-20.46514,-71.00147
-20.37871,-71.01117
-20.29227,-71.02084
-20.20583,-71.03049
-20.11921,-71.03894
-20.03209,-71.04437
-19.94497,-71.05025
-19.8594,-71.0661
-19.77508,-71.08908
-19.69083,-71.11198
-19.60663,-71.13482
-19.52277,-71.15781
-19.43956,-71.18116
-19.35856,-71.21552
-19.28444,-71.27265
-19.21552,-71.32912
-19.14659,-71.38556
-19.07773,-71.44217
-19.00899,-71.49919
-18.94066,-71.55601
-18.87401,-71.61216
-18.80731,-71.66828
-18.74056,-71.7244
-18.67375,-71.78044
-20.89005,-70.86628
-20.80278,-70.87424
-20.71564,-70.88369
-20.62849,-70.89312
-20.54134,-70.90252
-20.45418,-70.91191
-20.36702,-70.92127
-20.27985,-70.93062
-20.19268,-70.93994
-20.10528,-70.9478
-20.01724,-70.95188
-19.92924,-70.95671
-19.84272,-70.97079
-19.75737,-70.99138
-19.67206,-71.01186
-19.58679,-71.03225
-19.5023,-71.05438
-19.41944,-71.08042
-19.33853,-71.11648
-19.26215,-71.17362
-19.19213,-71.22976
-19.12211,-71.28588
-19.05216,-71.34221
-18.98235,-71.399
-18.91256,-71.45573
-18.84465,-71.51176
-18.77734,-71.56754
-18.70997,-71.62332
-18.64252,-71.679
-20.8827,-70.78061
-20.79471,-70.78833
-20.70682,-70.79736
-20.61894,-70.80638
-20.53104,-70.81539
-20.44315,-70.8244
-20.35525,-70.83341
-20.26735,-70.84241
-20.17944,-70.85141
-20.09127,-70.85872
-20.00233,-70.86173
-19.91348,-70.86584
-19.82593,-70.87768
-19.73949,-70.89532
-19.65312,-70.91298
-19.56683,-70.93066
-19.48167,-70.95173
-19.3989,-70.98022
-19.318,-71.01779
-19.24122,-71.07446
-19.16886,-71.13044
-19.09777,-71.18623
-19.02677,-71.24228
-18.95592,-71.29885
-18.88509,-71.35535
-18.81513,-71.4115
-18.74718,-71.46699
-18.67917,-71.52251
-18.61108,-71.57795
-20.8753,-70.69498
-20.78658,-70.70264
-20.69795,-70.71151
-20.60932,-70.72037
-20.52069,-70.72922
-20.43205,-70.73807
-20.3434,-70.7469
-20.25476,-70.75573
-20.16611,-70.76456
-20.07713,-70.77142
-19.98725,-70.77326
-19.89753,-70.77615
-19.80895,-70.78548
-19.72138,-70.80007
-19.63389,-70.81472
-19.54646,-70.82942
-19.46063,-70.84927
-19.37821,-70.88047
-19.29746,-70.91985
-19.22031,-70.97628
-19.14571,-71.03201
-19.07346,-71.0873
-19.00131,-71.14292
-18.92933,-71.19912
-18.85737,-71.25527
-18.78542,-71.31137
-18.7165,-71.36677
-18.64796,-71.4221
-18.57934,-71.47736
-20.86772,-70.60952
-20.77824,-70.61715
-20.68886,-70.62585
-20.59947,-70.63454
-20.51008,-70.64322
-20.42068,-70.65188
-20.33128,-70.66054
-20.24187,-70.66918
-20.15246,-70.67782
-20.06267,-70.68421
-19.97183,-70.68487
-19.8814,-70.68658
-19.79195,-70.6937
-19.70338,-70.70546
-19.61488,-70.71724
-19.52642,-70.72905
-19.43995,-70.74771
-19.35776,-70.78149
-19.27701,-70.82245
-19.19949,-70.8785
-19.12312,-70.93408
-19.04968,-70.98879
-18.97635,-71.04389
-18.90321,-71.09965
-18.83009,-71.15537
-18.75699,-71.21105
-18.68569,-71.26648
-18.61663,-71.32167
-18.54746,-71.3768
-20.85998,-70.52557
-20.76974,-70.53302
-20.67958,-70.5414
-20.58941,-70.54976
-20.49924,-70.55811
-20.40907,-70.56646
-20.31889,-70.57479
-20.22871,-70.5831
-20.13852,-70.59141
-20.0479,-70.5972
-19.95618,-70.59669
-19.86507,-70.59703
-19.77479,-70.60201
-19.68531,-70.61104
-19.59587,-70.62009
-19.50648,-70.62916
-19.41939,-70.64666
-19.33728,-70.68282
-19.25643,-70.72524
-19.17842,-70.78087
-19.10054,-70.83633
-19.0261,-70.89076
-18.95177,-70.94563
-18.87763,-71.00119
-18.8035,-71.0567
-18.72938,-71.11216
-18.65541,-71.1675
-18.58565,-71.22251
-18.51583,-71.27742
-20.85209,-70.44168
-20.76107,-70.44894
-20.67013,-70.45698
-20.57918,-70.46502
-20.48822,-70.47304
-20.39727,-70.48105
-20.3063,-70.48905
-20.21534,-70.49704
-20.12436,-70.50502
-20.0329,-70.5102
-19.94041,-70.50854
-19.84863,-70.50742
-19.75757,-70.51028
-19.66719,-70.5166
-19.57685,-70.52293
-19.48655,-70.52926
-19.39884,-70.54561
-19.31679,-70.58415
-19.23582,-70.62805
-19.15729,-70.68325
-19.07881,-70.7383
-19.00271,-70.79269
-18.9274,-70.84737
-18.85229,-70.90281
-18.77719,-70.95818
-18.7021,-71.01351
-18.627,-71.06872
-18.55471,-71.12358
-18.48419,-71.1782
-20.84403,-70.3578
-20.75223,-70.36497
-20.6605,-70.37279
-20.56875,-70.38061
-20.47701,-70.38841
-20.38526,-70.3962
-20.2935,-70.40398
-20.20174,-70.41176
-20.10998,-70.41952
-20.01767,-70.42432
-19.92449,-70.42165
-19.83202,-70.41887
-19.74018,-70.41932
-19.64891,-70.42265
-19.55767,-70.42604
-19.46647,-70.42949
-19.37816,-70.44461
-19.29613,-70.48554
-19.215,-70.53092
-19.13594,-70.5857
-19.05692,-70.64034
-18.97933,-70.6946
-18.90304,-70.7491
-18.82697,-70.80441
-18.75089,-70.85965
-18.67483,-70.91483
-18.59875,-70.96992
-18.52359,-71.02478
-18.45241,-71.07923
-20.83583,-70.27401
-20.74324,-70.28131
-20.65069,-70.28914
-20.55815,-70.29696
-20.4656,-70.30476
-20.37305,-70.31256
-20.28049,-70.32035
-20.18793,-70.32812
-20.09537,-70.33589
-20.0022,-70.34043
-19.90846,-70.33633
-19.81534,-70.33175
-19.72272,-70.32976
-19.63055,-70.33007
-19.53842,-70.33042
-19.44631,-70.33082
-19.35734,-70.34451
-19.27526,-70.38771
-19.1939,-70.43441
-19.11419,-70.48857
-19.03455,-70.54265
-18.95563,-70.5966
-18.87834,-70.6509
-18.80128,-70.70605
-18.72422,-70.76114
-18.64717,-70.81616
-18.5701,-70.87109
-18.49301,-70.92589
-18.42,-70.98029
